Theta,2.971033333,-40.30471667
Alpha,1.628583333,-57.23666667
Eta,0.818333333,57.81583333
Beta,16.09061667,-19.80555
Alpha,12.4433,-63.09916667
Alpha,8.974783333,11.85778333
Zeta,10.27816667,23.41721667
Epsilon,6.977083333,-28.97221667
Epsilon,4.47695,19.18028333
Alpha,20.30091667,-12.54471667
Beta,11.84491667,1.764716667
Epsilon,20.79461667,-9.495833333
Beta,19.51203333,27.95971667
Alpha,12.14021667,-24.72888333
80,13.42041667,54.98805
Eta,3.791416667,24.105
Alpha,4.598666667,16.50916667
Alpha,21.30966667,62.58555
Beta,21.47766667,70.56083333
Beta,5.2423,-8.201666667
Gamma,0.220616667,15.18361667
Gamma,10.33286667,19.84166667
Beta,3.136133333,40.95555
Delta,12.49775,-16.51555
Gamma,6.628533333,16.39916667
Epsilon,12.90046667,55.95971667
Eta,13.79233333,49.31333333
Mu,15.40816667,37.37721667
Alpha,10.99625,-18.29888333
Gamma,2.065,42.32971667
Gamma,6.628533333,16.39916667
Alpha,22.13721667,-46.96111667
Beta,5.4382,28.6075
Epsilon,5.60355,-1.20195
Zeta,5.6793,-1.942783333
Alpha,9.459783333,-8.658616667
Alpha,15.57813333,26.71471667
Alpha,0.1398,29.09055
Gamma,23.65578333,77.6325
Sigma,19.53933333,69.66111667
Beta,19.92188333,6.406666667
Lambda,9.133283333,-43.4325
Alpha,19.84638333,8.868333333
Delta,19.20925,67.66166667
Lambda,9.528666667,22.96805
Eta,7.401583333,-29.30305
Zeta,13.39875,54.92528333
Nu,11.30796667,33.09416667
Beta,17.50721667,52.30138333
Theta,18.937,4.203616667
Theta,22.28055,-7.783333333
Tau2,3.325283333,-21.75778333
Alpha,0.43805,-42.30611667
Alpha,16.49011667,-26.43195
Alpha,14.26103333,19.1825
Beta,19.3773,-44.45888333
Alpha,5.5455,-17.82221667
Mu,17.0888,54.47028333
Zeta,19.04353333,-29.88028333
Iota,9.284833333,-59.27528333
21,3.765116667,24.55471667
Zeta,3.9022,31.88361667
27,3.819366667,24.05333333
Alpha,16.81108333,-69.02778333
Delta,12.92671667,3.3975
Epsilon,8.375216667,-59.50971667
Eta,2.940466667,-8.89805
Theta,22.17,6.197783333
Zeta,1.857666667,-10.335
Omicron2,4.19775,-6.8375
Gamma,5.418866667,6.349716667
Eta,13.79233333,49.31333333
Alpha,5.919533333,7.40695
Delta,3.193833333,19.72666667
Alpha,6.3992,-52.69583333
Alpha,5.278166667,45.99805
Beta,0.152966667,59.14971667
Alpha,7.576666667,31.88833333
16,3.746716667,24.28945
Beta,17.72455,4.567216667
Beta,12.56236667,41.3575
Theta,11.23733333,15.42945
Alpha,12.9338,38.31833333
Theta,11.23733333,15.42945
Omega,16.42361667,14.03333333
Beta,5.130833333,-5.086383333
Beta,20.3502,-14.78138333
Alpha,20.69053333,45.28028333
Delta,21.784,-16.12721667
Beta,0.7265,-17.98666667
Beta,11.81766667,14.57195
Beta,0.7265,-17.98666667
Iota,8.986783333,48.04166667
Delta,16.00555,-22.62166667
Alpha,11.06213333,61.75083333
Psi,17.69896667,72.14888333
Iota,15.4155,58.96611667
Beta,5.4382,28.6075
17,3.747916667,24.11333333
Gamma,17.94345,51.48888333
Epsilon,21.73645,9.875
Gamma,23.65578333,77.6325
Alpha,22.96086667,-29.62221667
Zeta,6.33855,-30.06333333
Gamma,12.51941667,-57.11333333
Alpha,15.57813333,26.71471667
Lambda,11.52338333,69.33111667
Alpha,20.30091667,-12.54471667
Gamma,12.26345,-17.54195
Beta,7.4525,8.28945
Beta,16.09061667,-19.80555
Xi,17.89213333,56.87278333
Beta,14.06371667,-60.37305
Alpha,2.11955,23.4625
Lambda,5.585633333,9.934166667
Zeta,22.69103333,10.83138333
Epsilon,14.74978333,27.07416667
Nu,16.19991667,-19.46055
Gamma,2.721666667,3.235833333
Alpha,2.034116667,2.763616667
Epsilon,18.40286667,-34.38471667
Lambda,18.46616667,-25.42166667
Delta,18.34991667,-29.82805
Omicron,4.19775,-6.8375
Beta,17.72455,4.567216667
Alpha,21.26371667,5.247783333
Beta,14.84508333,74.15555
Beta,16.50366667,21.48971667
Beta,12.57311667,-23.39666667
Mu,17.0888,54.47028333
Xi,22.06316667,64.62778333
Nu,16.19991667,-19.46055
Kappa,16.13458333,17.04695
Epsilon,5.0328,43.82333333
20,3.763783333,24.36778333
Lambda,16.51521667,1.983883333
Alpha,23.07936667,15.20528333
Eta,22.7167,30.22138333
Epsilon,6.7322,25.13111667
Delta,12.25711667,57.0325
Lambda,5.585633333,9.934166667
Zeta,7.068466667,20.57028333
Beta,5.992133333,44.9475
Alpha,3.038,4.089716667
Theta,14.11138333,-36.37
Xi,3.98275,35.79111667
Beta,11.0307,56.3825
23,3.772116667,23.94833333
Gamma,1.892166667,19.29361667
Beta,9.22,-69.71721667
Beta,12.79533333,-59.68861667
Delta,5.53345,0.299166667
Omicron,2.322416667,-2.9775
Beta,1.1622,35.62055
Alpha,3.405383333,49.86111667
Beta,6.378333333,-17.95583333
Zeta,13.39875,54.92528333
Alpha,1.8847,29.57888333
Eta,13.91141667,18.39778333
Beta,6.378333333,-17.95583333
Omicron,8.504416667,60.71805
Zeta,8.05975,-40.00333333
